GroupName	PercentOfSpecies	Species	DomainsInGroup	NumSpecies
Group_0	95.0	['Colletotrichum_fructicola', 'Colletotrichum_orbiculare', 'Colletotrichum_gloeosporioides', 'Colletotrichum_nymphaeae', 'Colletotrichum_simmondsii', 'Colletotrichum_tofieldiae', 'Colletotrichum_orchidophilum', 'Colletotrichum_spinosum', 'Colletotrichum_higginsianum', 'Colletotrichum_asianum', 'Colletotrichum_scovillei', 'Colletotrichum_karsti', 'Colletotrichum_camelliae', 'Colletotrichum_siamense', 'Colletotrichum_viniferum', 'Colletotrichum_truncatum', 'Colletotrichum_plurivorum', 'Staphylotrichum_longicolle', 'Colletotrichum_aenigma']	['DIT1_PvcA']	19
Group_10	75.0	['Colletotrichum_fructicola', 'Colletotrichum_gloeosporioides', 'Colletotrichum_nymphaeae', 'Colletotrichum_simmondsii', 'Colletotrichum_tofieldiae', 'Colletotrichum_orchidophilum', 'Colletotrichum_spinosum', 'Colletotrichum_asianum', 'Colletotrichum_karsti', 'Colletotrichum_camelliae', 'Colletotrichum_siamense', 'Colletotrichum_viniferum', 'Colletotrichum_truncatum', 'Colletotrichum_plurivorum', 'Colletotrichum_aenigma']	['DJ-1_PfpI']	15
Group_1	60.0	['Colletotrichum_orbiculare', 'Colletotrichum_gloeosporioides', 'Colletotrichum_higginsianum', 'Colletotrichum_fructicola', 'Colletotrichum_asianum', 'Colletotrichum_scovillei', 'Colletotrichum_camelliae', 'Colletotrichum_viniferum', 'Colletotrichum_siamense', 'Colletotrichum_truncatum', 'Colletotrichum_plurivorum', 'Colletotrichum_aenigma']	['MFS_1', 'Sugar_tr']	12
