GroupName	PercentOfSpecies	Species	DomainsInGroup	NumSpecies
Group_3	95.0	['Verticillium_alfalfae', 'Colletotrichum_fructicola', 'Colletotrichum_orbiculare', 'Colletotrichum_gloeosporioides', 'Verticillium_longisporum', 'Colletotrichum_nymphaeae', 'Colletotrichum_higginsianum', 'Colletotrichum_incanum', 'Verticillium_nonalfalfae', 'Colletotrichum_asianum', 'Colletotrichum_scovillei', 'Colletotrichum_karsti', 'Colletotrichum_camelliae', 'Colletotrichum_siamense', 'Colletotrichum_viniferum', 'Colletotrichum_tropicale', 'Plectosphaerella_plurivora', 'Plectosphaerella_cucumerina', 'Colletotrichum_aenigma']	['DIT1_PvcA', 'TauD']	19
Group_2	85.0	['Verticillium_alfalfae', 'Colletotrichum_fructicola', 'Colletotrichum_orbiculare', 'Colletotrichum_gloeosporioides', 'Colletotrichum_nymphaeae', 'Colletotrichum_higginsianum', 'Verticillium_nonalfalfae', 'Colletotrichum_asianum', 'Colletotrichum_scovillei', 'Colletotrichum_karsti', 'Colletotrichum_camelliae', 'Colletotrichum_siamense', 'Colletotrichum_viniferum', 'Colletotrichum_tropicale', 'Plectosphaerella_plurivora', 'Plectosphaerella_cucumerina', 'Colletotrichum_aenigma']	['FAD_binding_3', 'Pyr_redox_2']	17
Group_1	70.0	['Verticillium_alfalfae', 'Colletotrichum_fructicola', 'Colletotrichum_gloeosporioides', 'Verticillium_longisporum', 'Colletotrichum_nymphaeae', 'Verticillium_nonalfalfae', 'Colletotrichum_asianum', 'Colletotrichum_scovillei', 'Colletotrichum_karsti', 'Colletotrichum_siamense', 'Colletotrichum_viniferum', 'Colletotrichum_tropicale', 'Plectosphaerella_plurivora', 'Plectosphaerella_cucumerina']	['MFS_1']	14
Group_6	50.0	['Colletotrichum_fructicola', 'Colletotrichum_orbiculare', 'Colletotrichum_nymphaeae', 'Colletotrichum_asianum', 'Colletotrichum_scovillei', 'Colletotrichum_gloeosporioides', 'Colletotrichum_karsti', 'Colletotrichum_camelliae', 'Colletotrichum_tropicale', 'Colletotrichum_siamense']	['Fungal_trans', 'Zn_clus']	10
Group_5	50.0	['Colletotrichum_fructicola', 'Colletotrichum_orbiculare', 'Colletotrichum_gloeosporioides', 'Colletotrichum_nymphaeae', 'Colletotrichum_asianum', 'Colletotrichum_scovillei', 'Colletotrichum_karsti', 'Colletotrichum_camelliae', 'Colletotrichum_siamense', 'Colletotrichum_tropicale']	['Abhydrolase_6', 'Hydrolase_4']	10
Group_4	50.0	['Colletotrichum_fructicola', 'Colletotrichum_orbiculare', 'Colletotrichum_gloeosporioides', 'Colletotrichum_nymphaeae', 'Colletotrichum_asianum', 'Colletotrichum_scovillei', 'Colletotrichum_karsti', 'Colletotrichum_camelliae', 'Colletotrichum_siamense', 'Colletotrichum_tropicale']	['DAO', 'FAD_binding_3']	10
