GroupName	PercentOfSpecies	Species	DomainsInGroup	NumSpecies
Group_15	83.33333333333334	['Bipolaris_maydis', 'Bipolaris_sorokiniana', 'Bipolaris_zeicola', 'Bipolaris_oryzae', 'Bipolaris_victoriae', 'Clathrospora_elynae', 'Trematosphaeria_pertusa', 'Alternaria_alternata', 'Alternaria_spp', 'Alternaria_tenuissima', 'Alternaria_arborescens', 'Alternaria_gaisen', 'Alternaria_burnsii', 'Alternaria_rosae', 'Alternaria_atra']	['AMP-binding', 'DIT1_PvcA', 'PP-binding', 'Transferase']	15
Group_17	72.22222222222221	['Bipolaris_maydis', 'Bipolaris_sorokiniana', 'Bipolaris_oryzae', 'Bipolaris_victoriae', 'Trematosphaeria_pertusa', 'Alternaria_alternata', 'Alternaria_spp', 'Alternaria_tenuissima', 'Alternaria_arborescens', 'Alternaria_gaisen', 'Alternaria_burnsii', 'Alternaria_rosae', 'Alternaria_atra']	['Abhydrolase_3', 'COesterase']	13
Group_18	66.66666666666666	['Bipolaris_maydis', 'Bipolaris_sorokiniana', 'Bipolaris_oryzae', 'Bipolaris_victoriae', 'Trematosphaeria_pertusa', 'Alternaria_alternata', 'Alternaria_spp', 'Alternaria_tenuissima', 'Alternaria_arborescens', 'Alternaria_gaisen', 'Alternaria_rosae', 'Alternaria_atra']	['AATase']	12
Group_8	50.0	['Pyrenophora_teres', 'Bipolaris_maydis', 'Trematosphaeria_pertusa', 'Alternaria_alternata', 'Alternaria_spp', 'Alternaria_tenuissima', 'Alternaria_arborescens', 'Alternaria_gaisen', 'Alternaria_atra']	['MFS_1']	9
