GroupName	PercentOfSpecies	Species	DomainsInGroup	NumSpecies
Group_0	85.71428571428571	['Blastomyces_dermatitidis', 'Histoplasma_capsulatum', 'Emmonsia_crescens', 'Blastomyces_silverae', 'Emergomyces_pasteurianus', 'Helicocarpus_griseus']	['DIT1_PvcA']	6
Group_6	85.71428571428571	['Blastomyces_dermatitidis', 'Histoplasma_capsulatum', 'Emmonsia_crescens', 'Blastomyces_silverae', 'Emergomyces_pasteurianus', 'Helicocarpus_griseus']	['p450']	6
Group_8	85.71428571428571	['Blastomyces_dermatitidis', 'Histoplasma_capsulatum', 'Emmonsia_crescens', 'Blastomyces_silverae', 'Emergomyces_pasteurianus', 'Helicocarpus_griseus']	['MFS_1', 'Sugar_tr']	6
Group_7	71.42857142857143	['Blastomyces_dermatitidis', 'Histoplasma_capsulatum', 'Emmonsia_crescens', 'Blastomyces_silverae', 'Helicocarpus_griseus']	['NIF']	5
