GroupName	PercentOfSpecies	Species	DomainsInGroup	NumSpecies
Group_2	96.66666666666667	['Microdochium_trichocladiopsis', 'Fusarium_oxysporum', 'Fusarium_graminearum', 'Fusarium_odoratissimum', 'Fusarium_pseudograminearum', 'Fusarium_fujikuroi', 'Fusarium_poae', 'Fusarium_nygamai', 'Fusarium_culmorum', 'Fusarium_proliferatum', 'Epichloe_festucae', 'Fusarium_euwallaceae', 'Chalara_longipes', 'Fusarium_albosuccineum', 'Fusarium_graminum', 'Fusarium_anthophilum', 'Fusarium_pseudoanthophilum', 'Fusarium_mexicanum', 'Fusarium_phyllophilum', 'Fusarium_pseudocircinatum', 'Fusarium_subglutinans', 'Fusarium_spp', 'Fusarium_globosum', 'Fusarium_denticulatum', 'Fusarium_tjaetaba', 'Fusarium_bulbicola', 'Fusarium_xylarioides', 'Fusarium_venenatum', 'Fusarium_mangiferae']	['DIT1_PvcA']	29
Group_17	76.66666666666667	['Microdochium_trichocladiopsis', 'Fusarium_oxysporum', 'Fusarium_odoratissimum', 'Fusarium_graminearum', 'Fusarium_fujikuroi', 'Fusarium_pseudograminearum', 'Fusarium_nygamai', 'Fusarium_culmorum', 'Fusarium_proliferatum', 'Epichloe_festucae', 'Fusarium_euwallaceae', 'Chalara_longipes', 'Fusarium_albosuccineum', 'Fusarium_anthophilum', 'Fusarium_pseudoanthophilum', 'Fusarium_mexicanum', 'Fusarium_subglutinans', 'Fusarium_spp', 'Fusarium_globosum', 'Fusarium_tjaetaba', 'Fusarium_bulbicola', 'Fusarium_xylarioides', 'Fusarium_mangiferae']	[]	23
Group_3	73.33333333333333	['Fusarium_graminearum', 'Fusarium_oxysporum', 'Fusarium_odoratissimum', 'Fusarium_pseudograminearum', 'Fusarium_fujikuroi', 'Fusarium_poae', 'Fusarium_nygamai', 'Chalara_longipes', 'Fusarium_anthophilum', 'Fusarium_pseudoanthophilum', 'Fusarium_mexicanum', 'Fusarium_phyllophilum', 'Fusarium_pseudocircinatum', 'Fusarium_subglutinans', 'Fusarium_spp', 'Fusarium_globosum', 'Fusarium_denticulatum', 'Fusarium_tjaetaba', 'Fusarium_proliferatum', 'Fusarium_xylarioides', 'Fusarium_venenatum', 'Fusarium_mangiferae']	['p450']	22
Group_0	70.0	['Fusarium_oxysporum', 'Fusarium_graminearum', 'Fusarium_odoratissimum', 'Fusarium_pseudograminearum', 'Fusarium_fujikuroi', 'Fusarium_nygamai', 'Fusarium_proliferatum', 'Chalara_longipes', 'Fusarium_anthophilum', 'Fusarium_pseudoanthophilum', 'Fusarium_mexicanum', 'Fusarium_pseudocircinatum', 'Fusarium_subglutinans', 'Fusarium_spp', 'Fusarium_globosum', 'Fusarium_denticulatum', 'Fusarium_tjaetaba', 'Fusarium_bulbicola', 'Fusarium_xylarioides', 'Fusarium_venenatum', 'Fusarium_mangiferae']	['E1-E2_ATPase', 'HMA', 'Hydrolase', 'Hydrolase_3']	21
Group_16	66.66666666666666	['Fusarium_oxysporum', 'Fusarium_odoratissimum', 'Fusarium_graminearum', 'Fusarium_fujikuroi', 'Fusarium_pseudograminearum', 'Fusarium_nygamai', 'Fusarium_proliferatum', 'Epichloe_festucae', 'Chalara_longipes', 'Fusarium_albosuccineum', 'Fusarium_anthophilum', 'Fusarium_pseudoanthophilum', 'Fusarium_mexicanum', 'Fusarium_subglutinans', 'Fusarium_spp', 'Fusarium_globosum', 'Fusarium_tjaetaba', 'Fusarium_bulbicola', 'Fusarium_xylarioides', 'Fusarium_mangiferae']	['Terpene_syn_C_2']	20
Group_21	50.0	['Fusarium_oxysporum', 'Fusarium_odoratissimum', 'Fusarium_nygamai', 'Fusarium_pseudoanthophilum', 'Fusarium_mexicanum', 'Fusarium_phyllophilum', 'Fusarium_pseudocircinatum', 'Fusarium_subglutinans', 'Fusarium_spp', 'Fusarium_globosum', 'Fusarium_denticulatum', 'Fusarium_tjaetaba', 'Fusarium_proliferatum', 'Fusarium_mangiferae', 'Fusarium_fujikuroi']	['Mannosyl_trans3']	15
