GroupName	PercentOfSpecies	Species	DomainsInGroup	NumSpecies
Group_0	87.5	['Aspergillus_aculeatus', 'Aspergillus_indologenus', 'Aspergillus_brunneoviolaceus', 'Aspergillus_violaceofuscus', 'Aspergillus_uvarum', 'Aspergillus_aculeatinus', 'Aspergillus_japonicus']	['FAD_binding_3', 'Pyr_redox_3']	7
Group_1	87.5	['Aspergillus_aculeatus', 'Aspergillus_indologenus', 'Aspergillus_brunneoviolaceus', 'Aspergillus_violaceofuscus', 'Aspergillus_uvarum', 'Aspergillus_aculeatinus', 'Aspergillus_japonicus']	['DIT1_PvcA', 'TauD']	7
Group_2	87.5	['Aspergillus_aculeatus', 'Aspergillus_indologenus', 'Aspergillus_brunneoviolaceus', 'Aspergillus_violaceofuscus', 'Aspergillus_uvarum', 'Aspergillus_aculeatinus', 'Aspergillus_japonicus']	['Acetyltransf_1', 'Acetyltransf_3']	7
