GroupName	PercentOfSpecies	Species	DomainsInGroup	NumSpecies
Group_0	97.40259740259741	['Fusarium_oxysporum', 'Fusarium_graminearum', 'Fusarium_odoratissimum', 'Fusarium_pseudograminearum', 'Fusarium_fujikuroi', 'Fusarium_langsethiae', 'Fusarium_agapanthi', 'Fusarium_nygamai', 'Fusarium_beomiforme', 'Fusarium_flagelliforme', 'Fusarium_sporotrichioides', 'Fusarium_culmorum', 'Fusarium_proliferatum', 'Fusarium_verticillioides', 'Fusarium_coffeatum', 'Fusarium_albosuccineum', 'Fusarium_austroafricanum', 'Ophiocordyceps_sinensis', 'Fusarium_graminum', 'Fusarium_gaditjirri', 'Fusarium_decemcellulare', 'Fusarium_anthophilum', 'Fusarium_pseudoanthophilum', 'Fusarium_napiforme', 'Fusarium_phyllophilum', 'Fusarium_pseudocircinatum', 'Fusarium_subglutinans', 'Fusarium_spp', 'Fusarium_globosum', 'Fusarium_denticulatum', 'Fusarium_circinatum', 'Fusarium_tjaetaba', 'Fusarium_mundagurra', 'Fusarium_heterosporum', 'Fusarium_bulbicola', 'Fusarium_coicis', 'Fusarium_xylarioides', 'Fusarium_venenatum', 'Fusarium_musae', 'Trichoderma_gracile', 'Fusarium_tricinctum', 'Dactylonectria_estremocensis', 'Fusarium_redolens', 'Fusarium_mangiferae', 'Fusarium_equiseti', 'Metarhizium_robertsii', 'Metarhizium_anisopliae', 'Metarhizium_album', 'Trichoderma_harzianum', 'Trichoderma_gamsii', 'Drechmeria_coniospora', 'Purpureocillium_lilacinum', 'Akanthomyces_lecanii', 'Pochonia_chlamydosporia', 'Trichoderma_guizhouense', 'Beauveria_bassiana', 'Trichoderma_arundinaceum', 'Trichoderma_citrinoviride', 'Cordyceps_javanica', 'Cordyceps_militaris', 'Trichoderma_lentiforme', 'Metarhizium_brunneum', 'Metarhizium_acridum', 'Trichoderma_simmonsii', 'Hirsutella_rhossiliensis', 'Neonectria_ditissima', 'Cylindrodendrum_hubeiense', 'Thelonectria_olida', 'Ilyonectria_destructans', 'Dactylonectria_macrodidyma', 'Fusarium_kuroshium', 'Fusarium_floridanum', 'Fusarium_ambrosium', 'Fusarium_euwallaceae', 'Fusarium_solani']	['DIT1_PvcA', 'TauD']	75
Group_1	89.6103896103896	['Fusarium_oxysporum', 'Fusarium_graminearum', 'Fusarium_odoratissimum', 'Fusarium_pseudograminearum', 'Fusarium_fujikuroi', 'Fusarium_langsethiae', 'Fusarium_agapanthi', 'Fusarium_nygamai', 'Fusarium_beomiforme', 'Fusarium_flagelliforme', 'Fusarium_sporotrichioides', 'Fusarium_culmorum', 'Fusarium_proliferatum', 'Fusarium_verticillioides', 'Fusarium_coffeatum', 'Fusarium_albosuccineum', 'Fusarium_austroafricanum', 'Ophiocordyceps_sinensis', 'Fusarium_graminum', 'Fusarium_gaditjirri', 'Fusarium_decemcellulare', 'Fusarium_anthophilum', 'Fusarium_pseudoanthophilum', 'Fusarium_napiforme', 'Fusarium_phyllophilum', 'Fusarium_pseudocircinatum', 'Fusarium_subglutinans', 'Fusarium_spp', 'Fusarium_globosum', 'Fusarium_denticulatum', 'Fusarium_circinatum', 'Fusarium_tjaetaba', 'Fusarium_mundagurra', 'Fusarium_heterosporum', 'Fusarium_bulbicola', 'Fusarium_coicis', 'Fusarium_xylarioides', 'Fusarium_venenatum', 'Fusarium_musae', 'Trichoderma_gracile', 'Fusarium_tricinctum', 'Dactylonectria_estremocensis', 'Fusarium_redolens', 'Fusarium_mangiferae', 'Fusarium_equiseti', 'Trichoderma_harzianum', 'Drechmeria_coniospora', 'Akanthomyces_lecanii', 'Pochonia_chlamydosporia', 'Purpureocillium_lilacinum', 'Trichoderma_guizhouense', 'Trichoderma_arundinaceum', 'Trichoderma_citrinoviride', 'Cordyceps_militaris', 'Trichoderma_lentiforme', 'Metarhizium_brunneum', 'Metarhizium_acridum', 'Trichoderma_simmonsii', 'Hirsutella_rhossiliensis', 'Neonectria_ditissima', 'Cylindrodendrum_hubeiense', 'Thelonectria_olida', 'Ilyonectria_destructans', 'Dactylonectria_macrodidyma', 'Fusarium_kuroshium', 'Fusarium_floridanum', 'Fusarium_ambrosium', 'Fusarium_euwallaceae', 'Fusarium_solani']	['FAD_binding_3']	69
