GroupName	PercentOfSpecies	Species	DomainsInGroup	NumSpecies
Group_4	100.0	['Colletotrichum_fioriniae', 'Colletotrichum_sublineola', 'Colletotrichum_nymphaeae', 'Colletotrichum_simmondsii', 'Colletotrichum_tofieldiae', 'Colletotrichum_incanum', 'Colletotrichum_orchidophilum', 'Colletotrichum_tanaceti', 'Colletotrichum_scovillei', 'Fusarium_mundagurra']	['MFS_1']	10
Group_3	100.0	['Colletotrichum_fioriniae', 'Colletotrichum_sublineola', 'Colletotrichum_nymphaeae', 'Colletotrichum_simmondsii', 'Colletotrichum_tofieldiae', 'Colletotrichum_incanum', 'Colletotrichum_orchidophilum', 'Colletotrichum_tanaceti', 'Colletotrichum_scovillei', 'Fusarium_mundagurra']	['DIT1_PvcA']	10
Group_2	90.0	['Colletotrichum_fioriniae', 'Colletotrichum_sublineola', 'Colletotrichum_nymphaeae', 'Colletotrichum_simmondsii', 'Colletotrichum_tofieldiae', 'Colletotrichum_incanum', 'Colletotrichum_orchidophilum', 'Colletotrichum_tanaceti', 'Colletotrichum_scovillei']	['DHO_dh', 'Mpv17_PMP22']	9
Group_1	90.0	['Colletotrichum_fioriniae', 'Colletotrichum_sublineola', 'Colletotrichum_nymphaeae', 'Colletotrichum_simmondsii', 'Colletotrichum_tofieldiae', 'Colletotrichum_incanum', 'Colletotrichum_orchidophilum', 'Colletotrichum_tanaceti', 'Colletotrichum_scovillei']	['HET']	9
Group_0	80.0	['Colletotrichum_fioriniae', 'Colletotrichum_nymphaeae', 'Colletotrichum_simmondsii', 'Colletotrichum_tofieldiae', 'Colletotrichum_incanum', 'Colletotrichum_orchidophilum', 'Colletotrichum_tanaceti', 'Colletotrichum_scovillei']	['none']	8
Group_6	60.0	['Colletotrichum_nymphaeae', 'Colletotrichum_simmondsii', 'Colletotrichum_tofieldiae', 'Colletotrichum_incanum', 'Colletotrichum_orchidophilum', 'Colletotrichum_tanaceti']	['DHR10', 'Nuf2']	6
Group_5	50.0	['Colletotrichum_sublineola', 'Colletotrichum_tofieldiae', 'Colletotrichum_orchidophilum', 'Colletotrichum_tanaceti', 'Colletotrichum_scovillei']	['Cu-oxidase', 'Cu-oxidase_2', 'Cu-oxidase_3']	5
