GroupName	PercentOfSpecies	Species	DomainsInGroup	NumSpecies
Group_0	100.0	['Fusarium_beomiforme', 'Fusarium_anthophilum', 'Fusarium_spp', 'Fusarium_tjaetaba', 'Fusarium_musae', 'Fusarium_proliferatum', 'Fusarium_fujikuroi']	['DIT1_PvcA', 'TauD']	7
Group_1	100.0	['Fusarium_beomiforme', 'Fusarium_anthophilum', 'Fusarium_spp', 'Fusarium_tjaetaba', 'Fusarium_musae', 'Fusarium_proliferatum', 'Fusarium_fujikuroi']	['none']	7
Group_2	100.0	['Fusarium_beomiforme', 'Fusarium_anthophilum', 'Fusarium_spp', 'Fusarium_tjaetaba', 'Fusarium_musae', 'Fusarium_proliferatum', 'Fusarium_fujikuroi']	['MFS_1']	7
Group_3	100.0	['Fusarium_beomiforme', 'Fusarium_anthophilum', 'Fusarium_spp', 'Fusarium_tjaetaba', 'Fusarium_musae', 'Fusarium_proliferatum', 'Fusarium_fujikuroi']	['p450']	7
Group_7	85.71428571428571	['Fusarium_beomiforme', 'Fusarium_spp', 'Fusarium_tjaetaba', 'Fusarium_musae', 'Fusarium_proliferatum', 'Fusarium_fujikuroi']	['DJ-1_PfpI']	6
Group_4	71.42857142857143	['Fusarium_anthophilum', 'Fusarium_tjaetaba', 'Fusarium_musae', 'Fusarium_proliferatum', 'Fusarium_fujikuroi']	['ADH_N', 'ADH_zinc_N']	5
