GroupName	PercentOfSpecies	Species	DomainsInGroup	NumSpecies
Group_2	92.3076923076923	['Glarea_lozoyensis', 'Fonsecaea_pedrosoi', 'Exophiala_oligosperma', 'Paraphaeosphaeria_sporulosa', 'Fonsecaea_monophora', 'Fonsecaea_nubica', 'Venturia_nashicola', 'Venturia_inaequalis', 'Karstenula_rhodostoma', 'Lindgomyces_ingoldianus', 'Lophiostoma_macrostomum', 'Tothia_fuscella']	['ABC_tran', 'DIT1_PvcA', 'ABC2_membrane_7']	12
Group_3	92.3076923076923	['Glarea_lozoyensis', 'Fonsecaea_pedrosoi', 'Exophiala_oligosperma', 'Paraphaeosphaeria_sporulosa', 'Fonsecaea_monophora', 'Fonsecaea_nubica', 'Venturia_nashicola', 'Venturia_inaequalis', 'Karstenula_rhodostoma', 'Lindgomyces_ingoldianus', 'Lophiostoma_macrostomum', 'Tothia_fuscella']	['AMP-binding', 'PP-binding', 'Transferase']	12
Group_4	84.61538461538461	['Fonsecaea_pedrosoi', 'Exophiala_oligosperma', 'Paraphaeosphaeria_sporulosa', 'Fonsecaea_monophora', 'Fonsecaea_nubica', 'Venturia_nashicola', 'Venturia_inaequalis', 'Karstenula_rhodostoma', 'Lindgomyces_ingoldianus', 'Lophiostoma_macrostomum', 'Tothia_fuscella']	['MFS_1', 'TRI12']	11
Group_5	76.92307692307693	['Fonsecaea_pedrosoi', 'Exophiala_oligosperma', 'Paraphaeosphaeria_sporulosa', 'Fonsecaea_nubica', 'Venturia_nashicola', 'Venturia_inaequalis', 'Karstenula_rhodostoma', 'Lindgomyces_ingoldianus', 'Lophiostoma_macrostomum', 'Tothia_fuscella']	['DJ-1_PfpI']	10
Group_1	53.84615384615385	['Exophiala_oligosperma', 'Paraphaeosphaeria_sporulosa', 'Venturia_nashicola', 'Venturia_inaequalis', 'Karstenula_rhodostoma', 'Lophiostoma_macrostomum', 'Tothia_fuscella']	['Abhydrolase_3', 'COesterase']	7
