GroupName	PercentOfSpecies	Species	DomainsInGroup	NumSpecies
Group_0	95.1219512195122	['Bipolaris_maydis', 'Bipolaris_sorokiniana', 'Exserohilum_turcicum', 'Bipolaris_zeicola', 'Bipolaris_victoriae', 'Stemphylium_lycopersici', 'Alternaria_alternata', 'Ascochyta_rabiei', 'Stagonospora_spp', 'Pyrenochaeta_spp', 'Alternaria_spp', 'Ascochyta_lentis', 'Alternaria_tenuissima', 'Alternaria_arborescens', 'Alternaria_gaisen', 'Decorospora_gaudefroyi', 'Cucurbitaria_berberidis', 'Clathrospora_elynae', 'Aaosphaeria_arxii', 'Setomelanomma_holmii', 'Dothidotthia_symphoricarpi', 'Lindgomyces_ingoldianus', 'Ophiobolus_disseminans', 'Zopfia_rhizophila', 'Didymosphaeria_enalia', 'Lophiostoma_macrostomum', 'Lentithecium_fluviatile', 'Didymella_keratinophila', 'Didymella_heteroderae', 'Curvularia_kusanoi', 'Alternaria_burnsii', 'Alternaria_panax', 'Epicoccum_nigrum', 'Boeremia_exigua', 'Paraphoma_chrysanthemicola', 'Dendryphion_nanum', 'Phaeosphaeria_spp', 'Alternaria_atra', 'Didymella_exigua']	['DIT1_PvcA']	39
Group_1	92.6829268292683	['Bipolaris_maydis', 'Bipolaris_sorokiniana', 'Exserohilum_turcicum', 'Bipolaris_zeicola', 'Bipolaris_victoriae', 'Stemphylium_lycopersici', 'Alternaria_alternata', 'Ascochyta_rabiei', 'Stagonospora_spp', 'Pyrenochaeta_spp', 'Alternaria_spp', 'Ascochyta_lentis', 'Alternaria_tenuissima', 'Alternaria_arborescens', 'Alternaria_gaisen', 'Decorospora_gaudefroyi', 'Cucurbitaria_berberidis', 'Clathrospora_elynae', 'Aaosphaeria_arxii', 'Setomelanomma_holmii', 'Dothidotthia_symphoricarpi', 'Lindgomyces_ingoldianus', 'Ophiobolus_disseminans', 'Zopfia_rhizophila', 'Didymosphaeria_enalia', 'Lophiostoma_macrostomum', 'Lentithecium_fluviatile', 'Didymella_keratinophila', 'Didymella_heteroderae', 'Curvularia_kusanoi', 'Alternaria_burnsii', 'Alternaria_panax', 'Epicoccum_nigrum', 'Boeremia_exigua', 'Paraphoma_chrysanthemicola', 'Dendryphion_nanum', 'Phaeosphaeria_spp', 'Alternaria_atra']	['p450']	38
Group_3	70.73170731707317	['Bipolaris_sorokiniana', 'Exserohilum_turcicum', 'Bipolaris_zeicola', 'Bipolaris_victoriae', 'Stemphylium_lycopersici', 'Alternaria_alternata', 'Stagonospora_spp', 'Pyrenochaeta_spp', 'Alternaria_spp', 'Ascochyta_rabiei', 'Alternaria_tenuissima', 'Alternaria_arborescens', 'Alternaria_gaisen', 'Decorospora_gaudefroyi', 'Clathrospora_elynae', 'Setomelanomma_holmii', 'Dothidotthia_symphoricarpi', 'Lindgomyces_ingoldianus', 'Ophiobolus_disseminans', 'Zopfia_rhizophila', 'Didymosphaeria_enalia', 'Lophiostoma_macrostomum', 'Lentithecium_fluviatile', 'Didymella_heteroderae', 'Bipolaris_maydis', 'Epicoccum_nigrum', 'Boeremia_exigua', 'Paraphoma_chrysanthemicola', 'Phaeosphaeria_spp']	['Ctr']	29
Group_8	60.97560975609756	['Bipolaris_maydis', 'Bipolaris_sorokiniana', 'Exserohilum_turcicum', 'Bipolaris_zeicola', 'Bipolaris_victoriae', 'Stemphylium_lycopersici', 'Alternaria_alternata', 'Stagonospora_spp', 'Pyrenochaeta_spp', 'Alternaria_spp', 'Ascochyta_rabiei', 'Alternaria_tenuissima', 'Alternaria_arborescens', 'Alternaria_gaisen', 'Clathrospora_elynae', 'Setomelanomma_holmii', 'Lindgomyces_ingoldianus', 'Ophiobolus_disseminans', 'Zopfia_rhizophila', 'Didymosphaeria_enalia', 'Lophiostoma_macrostomum', 'Didymella_heteroderae', 'Boeremia_exigua', 'Paraphoma_chrysanthemicola', 'Phaeosphaeria_spp']	['DJ-1_PfpI']	25
