GroupName	PercentOfSpecies	Species	DomainsInGroup	NumSpecies
Group_2	94.44444444444444	['Talaromyces_marneffei', 'Talaromyces_stipitatus', 'Talaromyces_verruculosus', 'Penicillium_occitanis', 'Talaromyces_pinophilus', 'Penicillium_roqueforti', 'Penicillium_expansum', 'Penicillium_italicum', 'Penicillium_griseofulvum', 'Penicillium_solitum', 'Penicillium_polonicum', 'Penicillium_antarcticum', 'Penicillium_flavigenum', 'Penicillium_nalgiovense', 'Penicillium_rubens', 'Penicillium_digitatum', 'Penicillium_crustosum']	['DIT1_PvcA']	17
Group_18	61.111111111111114	['Penicillium_roqueforti', 'Penicillium_expansum', 'Penicillium_italicum', 'Penicillium_griseofulvum', 'Penicillium_solitum', 'Penicillium_polonicum', 'Penicillium_antarcticum', 'Penicillium_flavigenum', 'Penicillium_nalgiovense', 'Penicillium_rubens', 'Penicillium_crustosum']	['none']	11
Group_20	50.0	['Penicillium_roqueforti', 'Penicillium_expansum', 'Penicillium_griseofulvum', 'Penicillium_solitum', 'Penicillium_polonicum', 'Penicillium_antarcticum', 'Penicillium_flavigenum', 'Penicillium_rubens', 'Penicillium_crustosum']	['Ribonuc_L-PSP']	9
Group_25	50.0	['Penicillium_expansum', 'Penicillium_griseofulvum', 'Penicillium_polonicum', 'Penicillium_antarcticum', 'Penicillium_flavigenum', 'Penicillium_nalgiovense', 'Penicillium_digitatum', 'Penicillium_crustosum', 'Penicillium_rubens']	['MTP18']	9
