GroupName	PercentOfSpecies	Species	DomainsInGroup	NumSpecies
Group_1	88.0	['Eremothecium_gossypii', 'Saccharomyces_cerevisiae', 'Eremothecium_cymbalariae', 'Saccharomyces_arboricola', 'Saccharomyces_cerevisiae_x_Saccharomyces_kudriavzevii', 'Ashbya_aceris', 'Saccharomyces_boulardii', 'Candida_glabrata', 'Zygosaccharomyces_parabailii', 'Saccharomyces_paradoxus', 'Saccharomyces_pastorianus', 'Zygotorulaspora_mrakii', 'Torulaspora_spp', 'Kazachstania_unispora', 'Wickerhamomyces_mucosus', 'Zygosaccharomyces_rouxii', 'Naumovozyma_dairenensis', 'Torulaspora_delbrueckii', 'Wickerhamomyces_ciferrii', 'Lachancea_lanzarotensis', 'Kazachstania_exigua', 'Kazachstania_barnettii']	['DIT1_PvcA']	22
Group_0	76.0	['Eremothecium_gossypii', 'Saccharomyces_cerevisiae', 'Saccharomyces_arboricola', 'Saccharomyces_cerevisiae_x_Saccharomyces_kudriavzevii', 'Ashbya_aceris', 'Saccharomyces_boulardii', 'Candida_glabrata', 'Zygosaccharomyces_parabailii', 'Saccharomyces_paradoxus', 'Saccharomyces_pastorianus', 'Zygotorulaspora_mrakii', 'Torulaspora_spp', 'Kazachstania_unispora', 'Zygosaccharomyces_rouxii', 'Naumovozyma_dairenensis', 'Torulaspora_delbrueckii', 'Lachancea_lanzarotensis', 'Kazachstania_exigua', 'Kazachstania_barnettii']	['p450']	19
Group_8	72.0	['Eremothecium_gossypii', 'Saccharomyces_cerevisiae', 'Eremothecium_cymbalariae', 'Saccharomyces_cerevisiae_x_Saccharomyces_kudriavzevii', 'Ashbya_aceris', 'Saccharomyces_boulardii', 'Candida_glabrata', 'Zygosaccharomyces_parabailii', 'Saccharomyces_paradoxus', 'Saccharomyces_pastorianus', 'Zygotorulaspora_mrakii', 'Zygosaccharomyces_rouxii', 'Naumovozyma_dairenensis', 'Torulaspora_delbrueckii', 'Wickerhamomyces_ciferrii', 'Lachancea_lanzarotensis', 'Kazachstania_exigua', 'Kazachstania_barnettii']	['IU_nuc_hydro']	18
Group_2	72.0	['Eremothecium_gossypii', 'Saccharomyces_cerevisiae', 'Saccharomyces_arboricola', 'Saccharomyces_cerevisiae_x_Saccharomyces_kudriavzevii', 'Ashbya_aceris', 'Saccharomyces_boulardii', 'Candida_glabrata', 'Zygosaccharomyces_parabailii', 'Saccharomyces_paradoxus', 'Saccharomyces_pastorianus', 'Zygotorulaspora_mrakii', 'Torulaspora_spp', 'Kazachstania_unispora', 'Wickerhamomyces_mucosus', 'Zygosaccharomyces_rouxii', 'Torulaspora_delbrueckii', 'Lachancea_lanzarotensis', 'Kazachstania_barnettii']	['S1', 'SHS2_Rpb7-N']	18
Group_3	72.0	['Eremothecium_gossypii', 'Saccharomyces_cerevisiae', 'Saccharomyces_arboricola', 'Saccharomyces_cerevisiae_x_Saccharomyces_kudriavzevii', 'Ashbya_aceris', 'Saccharomyces_boulardii', 'Candida_glabrata', 'Zygosaccharomyces_parabailii', 'Saccharomyces_paradoxus', 'Saccharomyces_pastorianus', 'Zygotorulaspora_mrakii', 'Torulaspora_spp', 'Kazachstania_unispora', 'Wickerhamomyces_mucosus', 'Zygosaccharomyces_rouxii', 'Torulaspora_delbrueckii', 'Lachancea_lanzarotensis', 'Kazachstania_barnettii']	['Ribosomal_L23']	18
