GroupName	PercentOfSpecies	Species	DomainsInGroup	NumSpecies
Group_1	100.0	['Aspergillus_fumigatus', 'Aspergillus_clavatus', 'Aspergillus_fischeri', 'Penicillium_oxalicum', 'Penicillium_polonicum', 'Penicillium_antarcticum', 'Aspergillus_thermomutatus', 'Aspergillus_saccharolyticus', 'Aspergillus_fumigatiaffinis', 'Penicillium_crustosum', 'Penicillium_spp', 'Aspergillus_udagawae']	['DIT1_PvcA', 'TauD']	12
Group_4	91.66666666666666	['Aspergillus_fumigatus', 'Aspergillus_clavatus', 'Aspergillus_fischeri', 'Penicillium_oxalicum', 'Penicillium_polonicum', 'Penicillium_antarcticum', 'Aspergillus_thermomutatus', 'Aspergillus_saccharolyticus', 'Aspergillus_fumigatiaffinis', 'Penicillium_crustosum', 'Penicillium_spp']	['Zn_clus']	11
Group_8	91.66666666666666	['Aspergillus_fumigatus', 'Aspergillus_clavatus', 'Aspergillus_fischeri', 'Penicillium_polonicum', 'Penicillium_antarcticum', 'Aspergillus_thermomutatus', 'Aspergillus_saccharolyticus', 'Aspergillus_fumigatiaffinis', 'Penicillium_crustosum', 'Penicillium_spp', 'Aspergillus_udagawae']	['DIT1_PvcA']	11
Group_3	83.33333333333334	['Aspergillus_fumigatus', 'Aspergillus_clavatus', 'Aspergillus_fischeri', 'Penicillium_oxalicum', 'Penicillium_polonicum', 'Penicillium_antarcticum', 'Aspergillus_thermomutatus', 'Aspergillus_saccharolyticus', 'Aspergillus_fumigatiaffinis', 'Penicillium_spp']	['DJ-1_PfpI']	10
Group_7	83.33333333333334	['Aspergillus_fumigatus', 'Aspergillus_clavatus', 'Aspergillus_fischeri', 'Penicillium_oxalicum', 'Penicillium_polonicum', 'Penicillium_antarcticum', 'Aspergillus_thermomutatus', 'Aspergillus_saccharolyticus', 'Aspergillus_fumigatiaffinis', 'Penicillium_spp']	['none']	10
Group_0	75.0	['Aspergillus_fumigatus', 'Aspergillus_clavatus', 'Aspergillus_fischeri', 'Penicillium_oxalicum', 'Aspergillus_thermomutatus', 'Aspergillus_saccharolyticus', 'Aspergillus_fumigatiaffinis', 'Penicillium_spp', 'Aspergillus_udagawae']	['Hydrolase', 'Hydrolase_6', 'Hydrolase_like']	9
Group_9	75.0	['Aspergillus_fumigatus', 'Aspergillus_clavatus', 'Aspergillus_fischeri', 'Penicillium_polonicum', 'Penicillium_antarcticum', 'Aspergillus_saccharolyticus', 'Aspergillus_fumigatiaffinis', 'Penicillium_crustosum', 'Aspergillus_udagawae']	['GST_C', 'GST_C_2', 'GST_C_3', 'GST_N', 'GST_N_2', 'GST_N_3']	9
Group_2	75.0	['Aspergillus_clavatus', 'Penicillium_oxalicum', 'Aspergillus_fumigatus', 'Penicillium_antarcticum', 'Aspergillus_thermomutatus', 'Aspergillus_fumigatiaffinis', 'Penicillium_crustosum', 'Aspergillus_fischeri', 'Aspergillus_udagawae']	['MFS_1']	9
Group_10	66.66666666666666	['Aspergillus_fumigatus', 'Aspergillus_clavatus', 'Aspergillus_fischeri', 'Penicillium_polonicum', 'Penicillium_antarcticum', 'Aspergillus_fumigatiaffinis', 'Penicillium_crustosum', 'Aspergillus_udagawae']	['Trp_halogenase']	8
Group_16	50.0	['Aspergillus_fumigatus', 'Aspergillus_clavatus', 'Aspergillus_fischeri', 'Penicillium_polonicum', 'Penicillium_antarcticum', 'Aspergillus_udagawae']	['Zn_clus']	6
