GroupName	PercentOfSpecies	Species	DomainsInGroup	NumSpecies
Group_5	100.0	['Ascochyta_rabiei', 'Parastagonospora_nodorum', 'Boeremia_exigua', 'Ascochyta_lentis', 'Curvularia_kusanoi', 'Epicoccum_nigrum']	['FAD_binding_3']	6
Group_1	100.0	['Ascochyta_rabiei', 'Parastagonospora_nodorum', 'Boeremia_exigua', 'Ascochyta_lentis', 'Curvularia_kusanoi', 'Epicoccum_nigrum']	['DIT1_PvcA', 'TauD']	6
Group_3	83.33333333333334	['Ascochyta_rabiei', 'Boeremia_exigua', 'Ascochyta_lentis', 'Curvularia_kusanoi', 'Epicoccum_nigrum']	['ANAPC4_WD40', 'Nup160', 'Utp21', 'WD40', 'Cytochrom_D1']	5
Group_0	83.33333333333334	['Ascochyta_rabiei', 'Parastagonospora_nodorum', 'Boeremia_exigua', 'Ascochyta_lentis', 'Curvularia_kusanoi']	['MFS_1']	5
