GroupName	PercentOfSpecies	Species	DomainsInGroup	NumSpecies
Group_2	86.48648648648648	['Aspergillus_fumigatus', 'Aspergillus_clavatus', 'Aspergillus_fischeri', 'Aspergillus_turcosus', 'Aspergillus_thermomutatus', 'Aspergillus_candidus', 'Aspergillus_novofumigatus', 'Aspergillus_sclerotialis', 'Aspergillus_fumigatiaffinis', 'Aspergillus_lentulus', 'Aspergillus_felis', 'Aspergillus_hiratsukae', 'Aspergillus_udagawae', 'Penicillium_roqueforti', 'Aspergillus_viridinutans', 'Penicillium_expansum', 'Penicillium_italicum', 'Penicillium_brasilianum', 'Penicillium_griseofulvum', 'Penicillium_arizonense', 'Penicillium_solitum', 'Penicillium_decumbens', 'Penicillium_vulpinum', 'Penicillium_polonicum', 'Penicillium_antarcticum', 'Penicillium_flavigenum', 'Penicillium_steckii', 'Penicillium_rubens', 'Penicillium_rolfsii', 'Penicillium_digitatum', 'Penicillium_crustosum', 'Penicillium_spp']	['DIT1_PvcA', 'TauD']	32
Group_1	67.56756756756756	['Aspergillus_fumigatus', 'Aspergillus_fischeri', 'Aspergillus_turcosus', 'Aspergillus_candidus', 'Aspergillus_novofumigatus', 'Aspergillus_fumigatiaffinis', 'Aspergillus_lentulus', 'Aspergillus_felis', 'Aspergillus_hiratsukae', 'Aspergillus_udagawae', 'Penicillium_roqueforti', 'Penicillium_expansum', 'Penicillium_italicum', 'Penicillium_brasilianum', 'Penicillium_griseofulvum', 'Penicillium_arizonense', 'Penicillium_solitum', 'Penicillium_decumbens', 'Penicillium_antarcticum', 'Penicillium_flavigenum', 'Penicillium_steckii', 'Penicillium_rubens', 'Penicillium_rolfsii', 'Penicillium_crustosum', 'Penicillium_spp']	['DJ-1_PfpI']	25
Group_3	59.45945945945946	['Aspergillus_fumigatus', 'Aspergillus_turcosus', 'Aspergillus_thermomutatus', 'Aspergillus_novofumigatus', 'Aspergillus_fumigatiaffinis', 'Aspergillus_lentulus', 'Aspergillus_felis', 'Aspergillus_udagawae', 'Penicillium_roqueforti', 'Aspergillus_viridinutans', 'Penicillium_expansum', 'Penicillium_italicum', 'Penicillium_griseofulvum', 'Penicillium_arizonense', 'Penicillium_decumbens', 'Penicillium_vulpinum', 'Penicillium_polonicum', 'Penicillium_antarcticum', 'Penicillium_flavigenum', 'Penicillium_rubens', 'Penicillium_digitatum', 'Penicillium_crustosum']	['none']	22
Group_0	56.75675675675676	['Aspergillus_fischeri', 'Aspergillus_fumigatus', 'Aspergillus_candidus', 'Aspergillus_novofumigatus', 'Aspergillus_fumigatiaffinis', 'Aspergillus_lentulus', 'Aspergillus_felis', 'Aspergillus_hiratsukae', 'Aspergillus_udagawae', 'Penicillium_expansum', 'Penicillium_italicum', 'Penicillium_brasilianum', 'Penicillium_griseofulvum', 'Penicillium_arizonense', 'Penicillium_solitum', 'Penicillium_decumbens', 'Penicillium_steckii', 'Penicillium_rubens', 'Penicillium_rolfsii', 'Penicillium_crustosum', 'Penicillium_spp']	['Fungal_trans', 'Zn_clus']	21
