GroupName	PercentOfSpecies	Species	DomainsInGroup	NumSpecies
Group_3	100.0	['Metarhizium_acridum', 'Metarhizium_robertsii', 'Metarhizium_anisopliae', 'Metarhizium_album', 'Metarhizium_majus', 'Metarhizium_guizhouense', 'Metarhizium_brunneum']	['DIT1_PvcA']	7
Group_5	85.71428571428571	['Metarhizium_acridum', 'Metarhizium_robertsii', 'Metarhizium_anisopliae', 'Metarhizium_album', 'Metarhizium_guizhouense', 'Metarhizium_brunneum']	['DAO', 'NAD_binding_8']	6
Group_4	85.71428571428571	['Metarhizium_acridum', 'Metarhizium_robertsii', 'Metarhizium_anisopliae', 'Metarhizium_album', 'Metarhizium_guizhouense', 'Metarhizium_brunneum']	['MFS_1']	6
Group_2	85.71428571428571	['Metarhizium_acridum', 'Metarhizium_anisopliae', 'Metarhizium_robertsii', 'Metarhizium_album', 'Metarhizium_majus', 'Metarhizium_brunneum']	['Aldedh']	6
Group_1	85.71428571428571	['Metarhizium_acridum', 'Metarhizium_anisopliae', 'Metarhizium_robertsii', 'Metarhizium_album', 'Metarhizium_majus', 'Metarhizium_brunneum']	['tRNA-synt_1b']	6
Group_10	71.42857142857143	['Metarhizium_acridum', 'Metarhizium_robertsii', 'Metarhizium_anisopliae', 'Metarhizium_album', 'Metarhizium_guizhouense']	['ADH_N', 'ADH_zinc_N']	5
